model,trait_set,K,profile_id,eligible_primary_k,model_usability_gate,bootstrap_n,centroid_pc1,centroid_pc2,centroid_pc3,sd_pc1,sd_pc2,sd_pc3,cov_11,cov_12,cov_13,cov_22,cov_23,cov_33,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvector_1_1,eigenvector_1_2,eigenvector_1_3,eigenvector_2_1,eigenvector_2_2,eigenvector_2_3,eigenvector_3_1,eigenvector_3_2,eigenvector_3_3,fraction_inside_50_sample_coverage,fraction_inside_80_sample_coverage,fraction_inside_95_sample_coverage
qwen,12,4,H04_A,True,USABLE,500,-305.050160446,278.602966767,149.431203055,46.9379154064,52.0250288447,48.8986551185,2203.1679027,-1614.75149551,-1060.4484651,2706.6036263,1980.26503516,2391.0784724,5608.2289735,1245.70941546,446.911612433,-0.490332556622,0.660737160962,0.568331230921,0.803209897952,0.0894899562757,0.58893582635,-0.338271848886,-0.745263679411,0.574590466682,0,0,0
qwen,12,4,H04_B,True,USABLE,500,9.2005654034,51.7243750662,-41.3186784896,26.6255009534,21.9167412002,21.4735309436,708.917301019,-387.983800666,-181.386234151,480.343544838,220.702692175,461.112531186,1117.30081914,365.930137977,167.142419924,-0.719180011525,0.573823817614,0.391798848086,0.503194869234,0.0412886100535,0.863186060045,-0.479139890428,-0.81793733074,0.318439143922,0,0.008,0.024
qwen,12,4,H04_C,True,USABLE,500,-179.140485613,163.282246843,107.817547309,39.7983853102,41.4958748304,36.63453799,1583.9114733,-1002.71292895,-693.290793076,1721.90762794,1289.39615674,1342.08937374,3575.00025053,865.093795274,207.814429184,-0.520833232255,0.659213027675,0.54237526522,0.83901544789,0.278124847367,0.467653341141,-0.157435137061,-0.698630627314,0.697946576894,0,0,0
qwen,12,4,H04_D,True,USABLE,500,58.5486018947,-36.247459393,10.8628532465,32.0244990212,25.6462188516,26.0107854076,1025.56853756,-553.431089053,-287.976855996,657.728541386,360.418938654,676.560957519,1633.63538338,517.877366744,208.345286345,-0.71108592199,0.560181379642,0.424916031058,0.55845684288,0.082811518522,0.825389730395,-0.427180016138,-0.824220282632,0.371723229714,0.054,0.096,0.146
qwen,12,5,H05_A,True,USABLE,500,85.132748748,6.60784501816,-51.8328700885,23.3532912394,20.5778867803,19.0602270901,545.37621171,-315.913613282,-142.737660368,423.449424343,211.532890201,363.292256726,915.919387111,288.877338006,127.321167662,-0.678148530577,0.61066366092,0.408906424146,0.585537539473,0.112701062691,0.802772857249,-0.444140023353,-0.783829295,0.433994557519,0.004,0.004,0.004
qwen,12,5,H05_B,True,USABLE,500,-304.265944732,275.652532354,147.30445468,47.4674149411,52.2970614834,48.9875433276,2253.15548119,-1654.33292064,-1069.6376647,2734.9826398,1982.51397364,2399.77940127,5668.18557484,1266.88055843,452.851388991,-0.4964134144,0.660616810016,0.563168848861,0.79548035507,0.0864478396099,0.599781439963,-0.347540971256,-0.745729308362,0.568421561825,0,0,0
qwen,12,5,H05_C,True,USABLE,500,-155.544858412,155.900432356,103.105826428,37.7196663132,39.1278712947,34.5843670558,1422.77322678,-895.810867036,-611.67547067,1530.99031205,1145.64245444,1196.07844465,3183.07667439,781.514494829,185.250814264,-0.523123948929,0.658681867573,0.54081376775,0.836416250673,0.27501501791,0.474103992321,-0.163551795062,-0.7003605766,0.694799160245,0,0,0
qwen,12,5,H05_D,True,USABLE,500,120.210474547,-41.4672307994,27.3161978913,31.8060094074,24.5086792522,24.4801453862,1011.62223442,-540.218909975,-263.641924363,600.675358687,323.876789405,599.277518129,1554.25960729,477.063668485,180.251835463,-0.737837669263,0.550601017578,0.390428089741,0.529936562552,0.114294069149,0.84030000918,-0.418046425038,-0.826907120056,0.376114080185,0,0.002,0.002
qwen,12,5,H05_E,True,USABLE,500,-266.43992375,201.724750012,72.7936661177,40.670439436,41.3964273414,39.8375293717,1654.08464392,-1028.39102131,-725.197561801,1713.66419663,1183.08174365,1587.02874644,3625.76242884,917.856559212,411.158598944,-0.535754501191,0.633533238179,0.558213893213,0.794979213342,0.155665494641,0.586324401789,-0.284561355086,-0.757894379119,0.587044244747,0,0,0
qwen,12,6,H06_A,True,USABLE,500,91.5319511158,1.10921446532,-52.0336811718,22.5969388677,20.3062999216,18.0601543414,510.621646191,-298.090693085,-129.055371417,412.345816507,204.820836281,326.169174834,864.126718411,267.499674438,117.510244683,-0.671880666739,0.624121006888,0.398809902616,0.611419299557,0.163473867736,0.774236872473,-0.418022499145,-0.764034857404,0.491434560119,0,0.002,0.004
qwen,12,6,H06_B,True,USABLE,500,-315.64963402,261.299740388,132.594654007,47.2345209332,51.8928970589,48.8438731493,2231.09996779,-1602.72849451,-1032.29331425,2692.87276516,1936.37140817,2385.72394422,5550.88938965,1285.46993672,473.337350807,-0.4945257776,0.660275464086,0.565226120075,0.797111359289,0.0852851975193,0.59777915318,-0.346493486493,-0.746165361438,0.568488801303,0,0,0
qwen,12,6,H06_C,True,USABLE,500,-166.906673384,175.223191422,129.383140437,37.2767904401,41.6369655897,37.7992234876,1389.55910551,-969.421890965,-677.869040859,1733.63690352,1332.40376459,1428.78129627,3559.81287741,781.121358264,211.043069625,-0.476902709552,0.669058554,0.570021453053,0.855146775494,0.203260543933,0.476874347856,-0.203193991015,-0.714874676149,0.669078769217,0,0,0
qwen,12,6,H06_D,True,USABLE,500,99.2611804568,-23.8036108687,-27.7194761108,28.1514471536,23.2989420694,23.3062814535,792.503976843,-443.567620862,-202.851395625,542.840701553,274.955864319,543.182755192,1276.65961955,430.947694253,170.920119781,-0.703369015464,0.579435692227,0.411735724292,0.535421084974,0.0508846475822,0.843051015304,-0.467542821408,-0.813427950844,0.346032771477,0.012,0.02,0.032
qwen,12,6,H06_E,True,USABLE,500,-266.465875217,224.426200284,65.9845855221,40.3315792753,39.5660563681,38.900318441,1626.63628684,-999.117399603,-710.341214793,1565.47281652,1081.70476585,1513.23477481,3437.05152512,873.661457957,394.630895101,-0.558251471787,0.617972124531,0.553593485828,0.769774795047,0.136865550136,0.623469795657,-0.309519077213,-0.774195243132,0.552104760306,0,0,0
qwen,12,6,H06_F,True,USABLE,500,-197.346707374,152.942185869,107.611664098,44.4920041669,43.8228603914,38.1452203301,1979.53843478,-1187.43494027,-809.720792038,1920.44309288,1386.01134328,1455.05783404,4072.33567833,1022.55980708,260.143876295,-0.564973964955,0.643995075677,0.515824351332,0.811891292695,0.322447519379,0.486682777682,-0.147095029722,-0.693756397989,0.705028447994,0,0,0
qwen,12,7,H07_A,True,USABLE,500,-0.178642108091,38.5037871989,86.9648892717,25.6887018968,23.2261044334,24.1637311084,659.909405145,-371.350067242,-207.177049743,539.451927151,291.516814666,583.885901081,1180.2124795,411.733318275,191.301435599,-0.625275833033,0.593121939811,0.507184874714,0.609817195505,-0.0342036011051,0.791803701519,-0.486983696536,-0.804385776967,0.340309272754,0.002,0.006,0.018
qwen,12,7,H07_B,True,USABLE,500,87.6258617885,5.05473133651,-57.5971431956,23.228834888,20.5243618274,18.581312306,539.578770253,-311.15189223,-138.581516719,421.249428421,208.616970912,345.265167013,901.783133291,279.423864864,124.886367533,-0.680501787131,0.614147311277,0.39967536547,0.59616703125,0.146914816273,0.78930406537,-0.42603073664,-0.77539610317,0.466110174344,0,0.004,0.004
qwen,12,7,H07_C,True,USABLE,500,-285.231350547,233.754226774,126.717220282,47.19290185,51.3508569857,48.4210596315,2227.16998502,-1596.40485366,-1000.18541475,2636.91051317,1865.94438673,2344.59901584,5438.10703807,1292.4174748,478.155001166,-0.502095077343,0.659104036475,0.559894992307,0.782528029168,0.0706334039002,0.618595833982,-0.368171721991,-0.748727447978,0.551232067074,0,0,0
qwen,12,7,H07_D,True,USABLE,500,-223.321480426,212.411944907,129.028808912,43.5011507954,48.7591835631,45.0284303809,1892.35012052,-1366.20426046,-987.646474952,2377.45798174,1864.628454,2027.55954257,4984.93647327,1024.36061442,288.070557141,-0.477106835042,0.66273668977,0.577190737962,0.852519273925,0.189464135411,0.487149082909,-0.213494626497,-0.724488385984,0.655390435566,0,0,0
qwen,12,7,H07_E,True,USABLE,500,78.5459525183,-19.2539876326,-9.84454330246,29.8646554078,23.8827330937,24.2070299571,891.897642629,-486.003001307,-219.421374353,570.384940024,281.579961005,585.980299344,1390.610637,472.711453616,184.94079138,-0.724370796141,0.564882333954,0.395215002859,0.508215091594,0.0501754523845,0.859767320067,-0.465837278859,-0.82364456701,0.32342735948,0.058,0.108,0.15
qwen,12,7,H07_F,True,USABLE,500,-167.95554896,148.147357126,93.7555426907,45.5434819429,44.4555402087,38.6149258992,2074.20874748,-1235.38731248,-837.869812395,1976.29505525,1426.43454011,1491.1125022,4213.64741012,1064.46643282,263.502461987,-0.571048935025,0.641716033448,0.511960590497,0.807734014327,0.327912629639,0.489937821995,-0.146522612265,-0.693306454419,0.705590025692,0,0,0
qwen,12,7,H07_G,True,USABLE,500,-294.625162757,242.631050153,50.1836389073,42.3428552938,41.6916826259,41.1511625898,1792.91739443,-1124.14812834,-835.515040016,1738.19640018,1250.39919365,1693.41818249,3889.37253985,927.950237822,407.209199435,-0.553599075704,0.615419218523,0.561059042215,0.782094795305,0.152747473394,0.604148939027,-0.286104516805,-0.773257651009,0.565877027825,0,0,0
qwen,12,8,H08_A,True,USABLE,500,-4.12098063848,76.3198221258,95.6611776934,26.1507396736,23.5550350206,23.7265908346,683.861185475,-373.906347639,-194.571945312,554.839674821,272.356623088,562.951112634,1173.19958297,419.673655761,208.778734204,-0.645898594362,0.599015274364,0.47328184719,0.587293527573,-0.00620802456522,0.809350216471,-0.48775128731,-0.800713532738,0.347788039211,0,0,0
qwen,12,8,H08_B,True,USABLE,500,41.5478643933,19.7144201105,-34.955668928,24.3503313824,20.2013153825,19.0673090693,592.93863843,-333.249869878,-127.484275358,408.093143185,177.854160067,363.562275144,924.99901589,309.039685275,130.555355594,-0.726922456995,0.589718800067,0.351874236572,0.488466847584,0.0838701779521,0.868542418113,-0.482684037779,-0.803241887664,0.349025199056,0.022,0.058,0.12
qwen,12,8,H08_C,True,USABLE,500,-129.785165445,176.86699547,34.6911902264,36.9235759393,33.1190719759,30.1635178946,1363.35046015,-833.194422401,-368.045308761,1096.87292854,576.83105194,909.83781178,2371.01554023,715.980042125,283.06561811,-0.665184530899,0.621998136001,0.413095459504,0.601114440638,0.117900453902,0.790418188193,-0.442934497537,-0.774091597798,0.452317619722,0,0,0
qwen,12,8,H08_D,True,USABLE,500,20.8247399748,90.5319992284,-4.96313614053,24.2080772361,21.5120242604,18.4506409279,586.031003469,-332.315491216,-193.264744295,462.767187779,303.369735952,340.426150651,1034.88903584,275.503271364,78.8320346986,-0.648453800372,0.614738524644,0.449003580276,0.731316044194,0.339271785476,0.591668402979,-0.211387114761,-0.712033146629,0.669570224708,0,0,0
qwen,12,8,H08_E,True,USABLE,500,-262.059172051,228.005613881,147.636427153,42.2276819683,49.1783181653,45.2853537556,1783.17712441,-1322.67523779,-925.840058468,2418.50697757,1845.362581,2050.76326477,4911.71474362,1013.02374064,327.708882487,-0.456700717478,0.672951711362,0.581859475158,0.853611731807,0.147286937424,0.499653449288,-0.250542343679,-0.724874163038,0.641705525755,0,0,0
qwen,12,8,H08_F,True,USABLE,500,-197.58169194,150.293148783,91.1265570461,45.3977543935,44.6363831548,38.8770207578,2060.95610397,-1229.76560617,-827.373245028,1992.40670114,1444.57911276,1511.42274301,4223.17532561,1079.34635725,262.263865258,-0.564100812137,0.644896380866,0.515653887498,0.811663252753,0.318398859231,0.489719236472,-0.151634553704,-0.694788330634,0.703047749258,0,0,0
qwen,12,8,H08_G,True,USABLE,500,102.405643811,-16.4229477181,32.8579240263,39.5896545007,32.2726719251,32.7030855474,1567.34074348,-855.211875378,-521.895308193,1041.52535318,608.038132499,1069.49180432,2601.25555181,745.293134612,331.809214574,-0.692420022706,0.557972583026,0.457406939986,0.597174842131,0.0874440161674,0.797330390718,-0.404890997779,-0.825239444421,0.393755176842,0.002,0.006,0.01
qwen,12,8,H08_H,True,USABLE,500,-424.329112477,239.501160293,107.817040134,61.1285661812,64.0606780715,60.3310929293,3736.70160337,-2530.97403517,-1942.96106228,4103.77047499,3143.97762214,3639.84077404,8960.26851296,1860.70235639,659.341983045,-0.520302970965,0.638374869236,0.567240993523,0.831280504345,0.226466717562,0.507627372127,-0.195595351432,-0.735656409042,0.648499889232,0,0,0
qwen,12,9,H09_A,False,USABLE,500,48.9983704861,44.2749703936,112.593848436,23.228143319,20.9662389281,20.3529692919,539.546642046,-301.52605163,-138.538260336,439.583174789,214.844031223,414.243358997,916.218720858,325.709626321,151.444828653,-0.65390223982,0.613338992585,0.44297532768,0.592097068962,0.0503677282476,0.804291087156,-0.470991424216,-0.7882121365,0.396091790105,0,0,0
qwen,12,9,H09_B,False,USABLE,500,36.3027535505,18.1495013507,-28.252025693,26.730746336,22.2276117376,20.7663798625,714.53279968,-402.819226157,-152.820089144,494.066723557,216.799600645,431.242532595,1116.3105392,368.245985521,155.285531108,-0.726342608876,0.591928873358,0.349351718784,0.495261865759,0.0982913393416,0.863165393731,-0.476594270692,-0.799974388025,0.364552986063,0.042,0.118,0.216
qwen,12,9,H09_C,False,USABLE,500,-230.526072591,180.515169173,126.756037547,40.0932784966,44.4372736966,40.4214690356,1607.4709806,-1117.77944954,-690.542491219,1974.67129359,1395.02376383,1633.89515899,3934.41415803,954.460683825,327.162591324,-0.488230544062,0.673524658758,0.554973395659,0.818692514262,0.133210673081,0.558567349268,-0.302280503731,-0.72706220547,0.616447115689,0,0,0
qwen,12,9,H09_D,False,USABLE,500,5.14407258617,130.889448523,-19.6901276234,24.1832536024,22.2660566583,19.455984653,584.829754799,-345.752124385,-202.90799587,495.77727911,329.021588818,378.535338816,1086.03047469,286.516700229,86.5951978109,-0.622202828729,0.626291897875,0.469704267149,0.746192098009,0.292991351116,0.597790449104,-0.236772027044,-0.722436520967,0.649634112699,0,0,0
qwen,12,9,H09_E,False,USABLE,500,165.472288223,-56.3470071354,-15.7594649543,26.9342324721,22.4984634555,22.2919057833,725.452878859,-414.092284595,-174.641147908,506.18085786,253.32468131,496.929063454,1172.8262986,403.937810665,151.798690903,-0.701574815124,0.588487648027,0.401839603453,0.531013548817,0.0556986824705,0.845530760968,-0.47520247238,-0.806585361193,0.351571707271,0,0,0
qwen,12,9,H09_F,False,USABLE,500,-281.114980226,261.086718926,63.345655641,45.9349729497,43.3031063168,42.1905893657,2110.02173989,-1323.5090335,-809.377286432,1875.15901669,1241.4565376,1780.04583103,4189.98543065,1131.32841769,443.912739262,-0.593603140011,0.616687254041,0.517041722564,0.709589098461,0.0980075724277,0.697766312667,-0.379629587248,-0.781083443974,0.495772155365,0,0,0
qwen,12,9,H09_G,False,USABLE,500,-273.136041811,191.048343308,129.892195511,47.7943150468,50.1973121928,44.8096796721,2284.29655079,-1502.45332798,-1052.6863503,2519.77015138,1914.28781131,2007.90739231,5300.81562389,1213.0303051,298.128165497,-0.518284420767,0.65691766575,0.547576880096,0.837914068484,0.261949093909,0.478834716826,-0.17111771687,-0.706994945262,0.686204688374,0,0,0
qwen,12,9,H09_H,False,USABLE,500,-140.549562519,162.935734073,107.886667303,40.5874260441,41.2742488025,36.31113332,1647.33915289,-1023.50614898,-697.14635285,1703.56361421,1261.87916917,1318.49840298,3575.36799205,881.99163195,212.041546072,-0.539034366763,0.653218355901,0.531740285255,0.826871613009,0.290173172232,0.481749795762,-0.160391044167,-0.699360643467,0.696541027736,0,0,0
qwen,12,9,H09_I,False,USABLE,500,-328.793855491,208.704913399,43.1763638629,50.6709597635,52.416611183,48.7373868333,2567.54616335,-1654.03985656,-1259.51157262,2747.50112791,1987.56045309,2375.33287534,5862.00957569,1297.50229862,530.868292296,-0.532840236,0.63784981322,0.556083535698,0.826008759588,0.249296375793,0.505530262299,-0.183822773297,-0.728696735818,0.659704672733,0,0,0
qwen,12,10,H10_A,True,USABLE,500,134.652032212,-29.9364147728,60.1376661957,23.939040617,22.3215258122,21.3884173351,573.077665661,-372.819587902,-199.780619673,498.250514586,295.238559589,457.464396101,1099.35949012,307.702240826,121.730845406,-0.62122620358,0.62041694466,0.478707445904,0.63105055512,0.0338907100071,0.775001043004,-0.464600043981,-0.783539555195,0.412568254448,0,0,0
qwen,12,10,H10_B,True,USABLE,500,-156.498965553,230.275311713,137.558691257,30.9642197105,39.981695536,38.4441322547,958.782902277,-802.463086558,-589.874145079,1598.53597793,1272.81455719,1477.95130482,3241.04865029,574.653055019,219.568479716,-0.397949648808,0.67547609499,0.620780252675,0.856884086821,0.0319697729466,0.514516856256,-0.327697633142,-0.736688522182,0.591527076741,0,0,0
qwen,12,10,H10_C,True,USABLE,500,33.7735627311,55.7115565963,-60.889957174,23.0088607593,18.6266812191,16.0742117465,529.407673441,-279.729904729,-150.588333913,346.953253237,184.468402334,258.38028327,826.589632811,211.472704149,96.6788729883,-0.728845169479,0.570607229482,0.378407331574,0.626028551963,0.331577226363,0.705793734093,-0.277259753759,-0.75130814758,0.598884877356,0,0,0
qwen,12,10,H10_D,True,USABLE,500,-152.357053507,121.153422571,67.8855723032,46.1834085183,41.1071944885,37.1134360269,2132.90722236,-1227.89950177,-522.132513108,1689.80143871,872.057049375,1377.40713372,3583.98993918,1149.19585564,466.929999989,-0.67121024142,0.621268172988,0.404354632773,0.61929801,0.170212900395,0.766483883294,-0.407365666966,-0.764887851761,0.498998785174,0,0,0
qwen,12,10,H10_E,True,USABLE,500,64.492226151,-5.77678393861,-38.8232312696,31.7264418058,26.2261709704,26.1972494533,1006.56710965,-557.697199298,-274.944988177,687.812043769,361.374981229,686.295878919,1631.71187427,530.580617893,218.382540174,-0.699641071342,0.575496117912,0.423446088138,0.555572219125,0.0655337861446,0.828881675639,-0.449268161155,-0.815174546427,0.365579783674,0.02,0.064,0.114
qwen,12,10,H10_F,True,USABLE,500,-113.13303798,128.662560167,7.96426868749,32.6882814931,26.6892726077,25.6894942975,1068.52374697,-595.510592477,-283.193135374,712.317272326,363.874457883,659.950117262,1703.26465449,520.52224407,217.004237999,-0.716113629449,0.575416627131,0.395065785584,0.542530617493,0.102772714808,0.833725553269,-0.439137562503,-0.811377516519,0.385778079843,0,0,0
qwen,12,10,H10_G,True,USABLE,500,-161.896429108,123.473817646,64.7395668154,44.6431354617,41.4032691059,35.4401602224,1993.00954385,-1130.22953103,-723.95308336,1714.23069266,1205.96030903,1256.00495659,3735.65810372,995.4544642,232.132625176,-0.608786381004,0.628896875442,0.483598865139,0.77831213395,0.3553994118,0.51761132159,-0.153653390623,-0.691505587939,0.705840390881,0,0,0
qwen,12,10,H10_H,True,USABLE,500,-24.2166813007,96.4968388887,171.401754445,32.833600576,41.7841147176,41.716387397,1078.04532678,-950.581459938,-767.210254179,1745.91224273,1464.79605384,1740.25697746,3759.24851508,573.712992954,231.253038944,-0.413251171346,0.655210117528,0.632394790673,0.84459989604,0.016183675344,0.535153346493,-0.34040341507,-0.755273321746,0.560078319941,0,0,0
qwen,12,10,H10_I,True,USABLE,500,-397.68670278,318.000184154,207.288925724,62.3704723059,70.6643093601,66.7794872902,3890.07581566,-2955.51110805,-2259.37971749,4993.44461734,3996.30524796,4459.49992274,10737.0796394,1971.76493521,634.175781131,-0.476251445111,0.654011817951,0.587752586562,0.84911880908,0.168415396392,0.500633101507,-0.228433379997,-0.737499014398,0.635541811894,0,0,0
qwen,12,10,H10_J,True,USABLE,500,-237.162979993,176.075377457,123.854632018,42.9758366238,45.0128777589,41.9511745364,1846.92253351,-1158.31561119,-833.456149549,2026.15916414,1424.70583669,1759.90104498,4185.77688344,1021.95409252,425.251766676,-0.519357685285,0.646913214814,0.558364475262,0.82622275005,0.213268246096,0.521414060519,-0.218228233818,-0.732133831828,0.645256918024,0,0,0
llama,12,4,H04_A,True,USABLE,500,4.94752606725,15.1102280166,20.7817718133,3.52073715743,5.18083609313,3.28898113092,12.3955901317,3.75860805279,3.84833179793,26.8410626239,10.5635370123,10.8173968795,33.3260883447,11.6517668744,5.076194416,-0.236962105579,-0.863272881923,-0.445655575368,-0.933747157966,0.329039005988,-0.140888528732,-0.268263313761,-0.382744384511,0.884048375721,0,0,0
llama,12,4,H04_B,True,USABLE,500,-1.33562027006,-3.75862834487,-1.23253529581,1.34795066325,1.85629487966,1.56431668071,1.81697099055,0.349206703889,0.614511768981,3.44583068024,1.25849427683,2.44708667756,4.45483493023,1.93320709279,1.32184632532,-0.236537720084,-0.789038672455,-0.566981375662,0.723291401296,-0.532633285957,0.439489853696,0.648767643913,0.306136825717,-0.696692750178,0.008,0.028,0.044
llama,12,4,H04_C,True,USABLE,500,6.05795223246,12.0773761995,19.6549185474,3.18603431738,4.49992094123,3.10317162823,10.1508146715,4.8352656901,3.09833131767,20.2492884774,8.89889523437,9.62967415428,27.2282520789,8.24815085331,4.55337437096,-0.318396563024,-0.822203269022,-0.471810780996,-0.944887681139,0.315287509145,0.0882102976322,-0.0762292508535,-0.473894050381,0.877276199567,0,0,0
llama,12,4,H04_D,True,USABLE,500,-0.833274872582,-5.42144913611,5.47739959868,1.48283017172,2.15848201547,1.91306510823,2.19878531818,0.487529543589,0.891004758259,4.65904461111,1.75778182874,3.65981810834,6.20341791997,2.59852217878,1.71570793887,-0.227659197012,-0.761951057531,-0.606301802688,0.532667667033,-0.618679245939,0.577495581924,0.815129711465,0.191485186297,-0.546714712547,0,0,0
llama,12,5,H05_A,True,USABLE,500,-0.294471743272,-5.30463148683,-0.664649838085,1.12923708167,1.61967266031,1.24204880839,1.27517638663,0.427042859603,0.413935488112,2.62333952657,0.957889179616,1.54268524243,3.3446220059,1.20005281701,0.896526332708,-0.269795580071,-0.823186912623,-0.499573469933,0.812660373156,-0.472951451338,0.340440953146,0.516520534805,0.31413409806,-0.796571594749,0,0.004,0.006
llama,12,5,H05_B,True,USABLE,500,4.88827795493,15.0819160103,20.7710279259,3.4557291907,5.1446518595,3.21030975664,11.9420642394,3.51153545566,3.69589733367,26.4674427554,10.2366079838,10.3060887336,32.5402961544,11.3449661722,4.83033340184,-0.226898095403,-0.869786487768,-0.438165174334,-0.934169828439,0.321587062366,-0.154623714069,-0.275397868431,-0.374236859509,0.885495786014,0,0,0
llama,12,5,H05_C,True,USABLE,500,6.32312736523,11.444167087,19.0459311271,3.12092800024,4.36652744721,2.95321389898,9.74019158267,4.66211650437,2.91267021632,19.0665619473,8.25663102633,8.72147233311,25.5443097501,7.85370198236,4.13021413058,-0.328186140848,-0.824274007481,-0.461374270572,-0.941922838745,0.322397292329,0.0940284624483,-0.0712405980231,-0.465437800882,0.882208836219,0,0,0
llama,12,5,H05_D,True,USABLE,500,0.96227594361,-6.08834840087,6.42006624172,1.48487902663,2.16089729385,1.74570701058,2.20486572372,0.608096728781,0.806872339506,4.66947711458,1.55612996233,3.0474929668,5.85686621385,2.40162037846,1.66334921279,-0.251194787525,-0.814339797462,-0.523213028306,0.612437511223,-0.552301538756,0.565582270881,0.749547512548,0.178363966533,-0.637467506526,0,0,0
