rank,character,axis_projection_layer22,cluster_label
1,proofreader,9737.242,editorial
2,screener,9677.199,editorial
3,grader,9661.128,editorial
4,editor,9642.241,editorial
5,examiner,9639.429,editorial
6,statistician,9603.624,procedural_professional
7,moderator,9602.595,other
8,debugger,9597.806,procedural_professional
9,validator,9595.188,procedural_professional
10,reviewer,9592.062,procedural_professional
11,translator,9549.554,procedural_professional
12,scientist,9547.344,procedural_professional
13,interviewer,9544.988,other
14,analyst,9539.674,procedural_professional
15,researcher,9534.394,procedural_professional
16,evaluator,9527.669,procedural_professional
17,scheduler,9522.75,procedural_professional
18,planner,9520.423,procedural_professional
19,robot,9503.073,other
20,engineer,9494.924,procedural_professional
21,lawyer,9485.431,procedural_professional
22,accountant,9484.465,procedural_professional
23,nutritionist,9481.819,procedural_professional
24,facilitator,9481.297,procedural_professional
25,observer,9476.882,procedural_professional
26,strategist,9472.427,procedural_professional
27,consultant,9468.118,procedural_professional
28,auditor,9465.773,procedural_professional
29,organizer,9456.701,procedural_professional
30,secretary,9455.146,procedural_professional
31,marketer,9447.491,procedural_professional
32,collaborator,9446.313,procedural_professional
33,linguist,9434.1875,procedural_professional
34,mediator,9431.061,procedural_professional
35,coordinator,9422.582,procedural_professional
36,economist,9416.448,procedural_professional
37,forecaster,9414.3545,procedural_professional
38,skeptic,9411.201,procedural_professional
39,summarizer,9402.88,procedural_professional
40,supervisor,9401.147,procedural_professional
41,programmer,9396.379,procedural_professional
42,mathematician,9391.184,procedural_professional
43,publisher,9376.783,procedural_professional
44,generalist,9370.841,procedural_professional
45,assistant,9368.907,procedural_professional
46,journalist,9364.44,procedural_professional
47,pharmacist,9363.084,procedural_professional
48,sociologist,9356.139,procedural_professional
49,trainer,9352.804,procedural_professional
50,judge,9349.493,procedural_professional
51,producer,9349.034,procedural_professional
52,dispatcher,9339.764,procedural_professional
53,doctor,9331.255,procedural_professional
54,chemist,9330.272,procedural_professional
55,anthropologist,9328.061,procedural_professional
56,designer,9326.714,procedural_professional
57,instructor,9325.461,procedural_professional
58,coach,9323.789,procedural_professional
59,psychologist,9323.004,procedural_professional
60,negotiator,9322.814,procedural_professional
61,biologist,9317.89,procedural_professional
62,therapist,9313.476,procedural_professional
63,physicist,9303.971,procedural_professional
64,librarian,9302.722,procedural_professional
65,geographer,9300.589,procedural_professional
66,specialist,9286.063,procedural_professional
67,scholar,9283.512,procedural_professional
68,mentor,9279.179,procedural_professional
69,pragmatist,9271.997,procedural_professional
70,counselor,9264.181,procedural_professional
71,archivist,9256.344,procedural_professional
72,peacekeeper,9254.072,procedural_professional
73,tutor,9251.761,procedural_professional
74,navigator,9250.294,procedural_professional
75,architect,9249.772,procedural_professional
76,futurist,9247.428,procedural_professional
77,emissary,9242.6875,procedural_professional
78,technologist,9242.133,procedural_professional
79,theorist,9241.938,procedural_professional
80,recruiter,9240.003,procedural_professional
81,veterinarian,9235.546,procedural_professional
82,cartographer,9230.239,procedural_professional
83,networker,9228.781,procedural_professional
84,cyborg,9227.167,procedural_professional
85,detective,9223.474,procedural_professional
86,interpreter,9218.083,procedural_professional
87,student,9214.486,grounded_social
88,synthesizer,9207.688,procedural_professional
89,conservator,9207.556,procedural_professional
90,pilot,9197.332,procedural_professional
91,realist,9193.862,procedural_professional
92,teacher,9190.585,procedural_professional
93,ambassador,9161.588,procedural_professional
94,critic,9160.443,procedural_professional
95,guardian,9159.415,procedural_professional
96,reporter,9153.121,procedural_professional
97,paramedic,9151.664,procedural_professional
98,vegan,9127.762,procedural_professional
99,guide,9121.761,procedural_professional
100,curator,9119.875,procedural_professional
101,historian,9100.244,procedural_professional
102,virus,9098.019,mythic_spiritual
103,polymath,9086.916,procedural_professional
104,entrepreneur,9078.763,procedural_professional
105,scout,9061.264,procedural_professional
106,symbiont,9057.982,procedural_professional
107,collector,9028.399,procedural_professional
108,devils advocate,9016.094,combative_iconoclast
109,altruist,9011.746,procedural_professional
110,caregiver,9006.048,procedural_professional
111,pacifist,9001.957,procedural_professional
112,archaeologist,8990.729,procedural_professional
113,activist,8965.189,procedural_professional
114,hive,8952.99,procedural_professional
115,tulpa,8947.72,procedural_professional
116,merchant,8945.525,procedural_professional
117,saboteur,8945.481,grounded_social
118,destroyer,8932.518,procedural_professional
119,composer,8931.195,mythic_spiritual
120,builder,8926.114,procedural_professional
121,healer,8923.946,procedural_professional
122,naturalist,8916.413,procedural_professional
123,advocate,8913.346,procedural_professional
124,podcaster,8902.417,other
125,chef,8901.105,grounded_social
126,presenter,8897.552,grounded_social
127,swarm,8895.713,procedural_professional
128,sommelier,8893.02,grounded_social
129,expatriate,8884.756,grounded_social
130,ecosystem,8871.546,procedural_professional
131,perfectionist,8861.497,procedural_professional
132,spy,8854.587,grounded_social
133,cosmopolitan,8843.45,procedural_professional
134,graduate,8838.95,grounded_social
135,prodigy,8838.005,procedural_professional
136,writer,8820.351,procedural_professional
137,minimalist,8819.554,procedural_professional
138,hybrid,8817.015,procedural_professional
139,philosopher,8793.905,mythic_spiritual
140,playwright,8785.888,grounded_social
141,parent,8780.132,grounded_social
142,simulacrum,8776.949,mythic_spiritual
143,patient,8741.975,grounded_social
144,anarchist,8740.184,procedural_professional
145,witness,8738.245,procedural_professional
146,amateur,8736.96,grounded_social
147,optimist,8734.608,procedural_professional
148,influencer,8714.896,grounded_social
149,contrarian,8693.884,combative_iconoclast
150,newlywed,8691.665,grounded_social
151,empath,8678.857,procedural_professional
152,mechanic,8678.655,grounded_social
153,egregore,8674.981,procedural_professional
154,visionary,8670.012,procedural_professional
155,zeitgeist,8661.811,mythic_spiritual
156,fixer,8634.251,grounded_social
157,parasite,8626.121,mythic_spiritual
158,alien,8618.54,mythic_spiritual
159,purist,8615.922,mythic_spiritual
160,idealist,8610.931,procedural_professional
161,veteran,8610.555,grounded_social
162,immigrant,8610.193,grounded_social
163,soldier,8609.981,grounded_social
164,chameleon,8609.256,grounded_social
165,blogger,8608.995,grounded_social
166,retiree,8602.449,grounded_social
167,artisan,8602.386,mythic_spiritual
168,divorcee,8600.154,grounded_social
169,shapeshifter,8596.807,grounded_social
170,novelist,8578.859,mythic_spiritual
171,revolutionary,8568.766,procedural_professional
172,photographer,8568.757,mythic_spiritual
173,angel,8564.759,mythic_spiritual
174,traditionalist,8562.526,mythic_spiritual
175,musician,8560.627,mythic_spiritual
176,crystalline,8549.6,other
177,celebrity,8546.961,grounded_social
178,bartender,8545.382,grounded_social
179,maverick,8535.615,combative_iconoclast
180,vigilante,8527.035,grounded_social
181,loner,8522.645,mythic_spiritual
182,stoic,8521.928,mythic_spiritual
183,nomad,8517.694,mythic_spiritual
184,refugee,8512.467,grounded_social
185,hacker,8510.498,grounded_social
186,avatar,8476.65,mythic_spiritual
187,sage,8469.146,mythic_spiritual
188,gamer,8462.102,other
189,addict,8454.253,grounded_social
190,familiar,8441.912,mythic_spiritual
191,workaholic,8437.645,combative_iconoclast
192,predator,8436.639,mythic_spiritual
193,competitor,8435.336,combative_iconoclast
194,orphan,8430.357,grounded_social
195,homunculus,8429.396,mythic_spiritual
196,elder,8424.313,mythic_spiritual
197,mycorrhizal,8414.375,mythic_spiritual
198,virtuoso,8412.888,mythic_spiritual
199,adolescent,8400.419,other
200,teenager,8394.965,other
201,dilettante,8393.813,trickster_chaos
202,guru,8379.293,mythic_spiritual
203,widow,8362.092,grounded_social
204,chimera,8360.873,mythic_spiritual
205,coral reef,8342.761,mythic_spiritual
206,actor,8339.025,grounded_social
207,warrior,8323.479,mythic_spiritual
208,ancient,8321.215,mythic_spiritual
209,spirit,8319.217,mythic_spiritual
210,ascetic,8312.993,mythic_spiritual
211,survivor,8306.745,grounded_social
212,grandparent,8306.586,grounded_social
213,golem,8293.325,mythic_spiritual
214,wanderer,8288.851,mythic_spiritual
215,hedonist,8274.951,trickster_chaos
216,rogue,8267.801,grounded_social
217,mystic,8255.153,mythic_spiritual
218,provocateur,8254.868,combative_iconoclast
219,improviser,8243.917,trickster_chaos
220,auctioneer,8238.141,grounded_social
221,rebel,8235.385,combative_iconoclast
222,oracle,8234.718,mythic_spiritual
223,evangelist,8226.314,procedural_professional
224,procrastinator,8221.364,other
225,infant,8216.119,other
226,amnesiac,8213.661,other
227,pilgrim,8206.01,mythic_spiritual
228,vampire,8200.538,mythic_spiritual
229,prey,8200.225,other
230,revenant,8198.284,mythic_spiritual
231,smuggler,8196.082,grounded_social
232,void,8192.998,mythic_spiritual
233,witch,8181.9204,mythic_spiritual
234,daredevil,8173.229,grounded_social
235,shaman,8169.088,mythic_spiritual
236,romantic,8168.3174,mythic_spiritual
237,ghost,8163.5093,mythic_spiritual
238,gossip,8160.476,other
239,flaneur,8156.5,mythic_spiritual
240,cynic,8155.003,combative_iconoclast
241,martyr,8152.2705,mythic_spiritual
242,dreamer,8150.1597,mythic_spiritual
243,prisoner,8142.961,grounded_social
244,echo,8133.545,mythic_spiritual
245,hermit,8130.0527,mythic_spiritual
246,exile,8126.5605,grounded_social
247,surfer,8124.963,grounded_social
248,wraith,8124.746,mythic_spiritual
249,aberration,8122.29,mythic_spiritual
250,narrator,8113.8105,mythic_spiritual
251,demon,8096.3257,mythic_spiritual
252,whale,8092.855,mythic_spiritual
253,wind,8086.5137,mythic_spiritual
254,genie,8085.521,trickster_chaos
255,provincial,8082.1787,grounded_social
256,tree,8073.655,mythic_spiritual
257,narcissist,8064.382,other
258,criminal,8051.334,grounded_social
259,prophet,8027.034,mythic_spiritual
260,eldritch,8022.607,mythic_spiritual
261,trickster,8020.329,trickster_chaos
262,bard,7994.2397,mythic_spiritual
263,bohemian,7992.359,mythic_spiritual
264,luddite,7976.1567,other
265,comedian,7946.1816,other
266,toddler,7913.815,other
267,leviathan,7910.3364,mythic_spiritual
268,caveman,7905.889,other
269,absurdist,7902.8423,trickster_chaos
270,hoarder,7898.475,other
271,pirate,7857.7524,grounded_social
272,zealot,7842.4014,other
273,jester,7839.3257,trickster_chaos
274,fool,7652.212,other
275,poet,7358.4536,other
